Adv. Campaign,Clicks,Time
Klook - CPS,8501,C-Mar'23
CheapOair (Paused),2430,C-Mar'23
CreditKarma (Paused),2601,D-Apr'23
Vueling FR CPS,5333,D-Apr'23
Shopee Indonesia - CPS,15374,D-Apr'23
Shopee SG - CPS,6709,D-Apr'23
Shopee TH - CPS,19035,D-Apr'23
Klook - CPS,8501,D-Apr'23
CheapOair (Paused),2430,D-Apr'23
CreditKarma (Paused),1021,E-May'23
Shopee Indonesia - CPS,9840,E-May'23
Shopee SG - CPS,6668,E-May'23
Shopee TH - CPS,13343,E-May'23
Shopify CPA,2299,E-May'23
Klook - CPS,2334,E-May'23
Semrush - CPA,1297,E-May'23
Shopee Indonesia - CPS,10177,F-Jun'23
Shopee SG - CPS,4941,F-Jun'23
Shopee TH - CPS,18416,F-Jun'23
Shopify CPA,2353,F-Jun'23
Klook - CPS,2346,F-Jun'23
SquareSpace CPA (Offline),2267,L-Dec'23
Vrbo - CPS,2329,A-Jan'23
SquareSpace CPA (Offline),8434,A-Jan'23
Vrbo - CPS,2143,N-Feb'24
SquareSpace CPA (Offline),12609,N-Feb'24
Shopee Indonesia - CPS,10812,A-Jan'23
Shopee SG - CPS,3413,A-Jan'23
Shopee TH - CPS,12882,A-Jan'23
KKday - CPS,1304,B-Feb'23
Thriftbooks - CPS,1695,B-Feb'23
CreditKarma (Paused),2500,B-Feb'23
Shopee Indonesia - CPS,20808,B-Feb'23
Shopee SG - CPS,10574,B-Feb'23
Shopee TH - CPS,33163,B-Feb'23
AT&T Mobility CPS(Paused),1125,B-Feb'23
Klook - CPS,3506,B-Feb'23
KKday - CPS,1477,C-Mar'23
CreditKarma (Paused),5256,C-Mar'23
Vueling FR CPS,1646,C-Mar'23
Shopee Indonesia - CPS,27996,C-Mar'23
Shopee SG - CPS,8655,C-Mar'23
Shopee TH - CPS,31702,C-Mar'23
Klook - CPS,4130,C-Mar'23
KKday - CPS,1201,D-Apr'23
CreditKarma (Paused),6229,D-Apr'23
